A,B,C,D,E,R
6,2,3,6,3,7.25
4,5,0,7,5,17.85
4,8,3,5,6,20.55
2,1,7,2,4,3.95
10,5,8,3,3,8.45
1,2,0,3,7,7.65
7,6,0,7,9,
4,1,4,2,3,
5,1,7,1,2,
3,10,1,4,10,
2,10,3,2,10,
0,10,5,3,0,
7,2,5,6,1,
1,4,6,5,3,
2,4,3,4,5,
8,0,2,2,8,
